Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
Kundo: Age of the Rampant,2014,Not Rated,23 Jul 2014,137 min,"Action, Drama",Jong-bin Yoon,"Cheol-Hong Jeon, Jong-bin Yoon","Ha Jung-woo, Dong-won Gang, Lee Sung-min",A period action film centered on a militia group who turn against an unjust nobility.,Korean,South Korea,https://m.media-amazon.com/images/M/MV5BMjA1MzM0ODIxMl5BMl5BanBnXkFtZTgwNTQ5ODMzMjE@._V1_SX300.jpg,,,,,
Finding Fela,2014,Not Rated,05 Sep 2014,119 min,"Documentary, Biography, History",Alex Gibney,N/A,"Fela Kuti, Yeni Kuti, Femi Kuti",A look at the life and music of Nigerian singer Fela Kuti.,English,United States,https://m.media-amazon.com/images/M/MV5BMTU1ODM4MDk0MV5BMl5BanBnXkFtZTgwMzQ2NDgyMjE@._V1_SX300.jpg,,,,,
Knights of Badassdom,2013,R,11 Apr 2014,86 min,"Action, Adventure, Comedy",Joe Lynch,"Kevin Dreyfuss, Matt Wall","Ryan Kwanten, Steve Zahn, Peter Dinklage",Live-action role players conjure up a demon from Hell by mistake and they must deal with the consequences.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQ3ODEwMzY3NV5BMl5BanBnXkFtZTgwNTkwMTQ5MDE@._V1_SX300.jpg,,,,,
The Liberator,2020,TV-MA,11 Nov 2020,N/A,"Animation, Action, Drama",N/A,N/A,"Bradley James, Martin Sensmeier, Jose Miguel Vasquez",The true story of one of the bloodiest battles of World War II.,English,United States,https://m.media-amazon.com/images/M/MV5BN2MyMGQ2ZDctYTJiNi00NmZlLWE4NzAtNTA5NTE3YTIxMTlhXkEyXkFqcGdeQXVyMTAzMzc3MDIw._V1_SX300.jpg,1,,,,
"Two Days, One Night",2014,PG-13,21 May 2014,95 min,Drama,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne","Marion Cotillard, Fabrizio Rongione, Catherine Salée","Liège, Belgium. Sandra is a factory worker who discovers that her workmates have opted for a EUR1,000 bonus in exchange for her dismissal. She has only a weekend to convince her colleagues to give up their bonuses in order to keep...","French, Arabic, English","Belgium, France, Italy",https://m.media-amazon.com/images/M/MV5BNjEzZmZkN2EtNTkzOS00MmIyLWE3YjktMDdmZTI4NmM5MzBlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,,,,,
God the Father,2014,R,31 Oct 2014,101 min,Documentary,Simon Fellows,"Moshe Diamant, Michael Franzese, Galit Hakmon McCord","Tom Benedict Knight, Amanda Fernando Stevens, Robert Ashby","Michael Franzese, the son of John ""Sonny"" Franzese, an underboss of the Colombo crime family, recounts his spiritual transformation.",English,United States,https://m.media-amazon.com/images/M/MV5BMTkzODYzNjYyNl5BMl5BanBnXkFtZTgwNjM0NjA5MjE@._V1_SX300.jpg,,,,,
Despicable Me 2,2013,PG,03 Jul 2013,98 min,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Benjamin Bratt","When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.","English, Ukrainian","United States, France, Japan",https://m.media-amazon.com/images/M/MV5BMTQxNzY1MjI5NF5BMl5BanBnXkFtZTcwNTI0MDY1OQ@@._V1_SX300.jpg,,,,,
En solitaire,2000,N/A,N/A,9 min,Short,Stéphane Kazandjian,Stéphane Kazandjian,"Constance Dollé, Chantal Lauby, Jocelyn Quivrin",N/A,French,France,N/A,,,,,
God Help the Girl,2014,Unrated,05 Sep 2014,112 min,"Drama, Music, Romance",Stuart Murdoch,Stuart Murdoch,"Emily Browning, Olly Alexander, Hannah Murray","As Eve begins writing songs as a way to sort through some emotional problems, she meets James and Cassie, two musicians each at crossroads of their own.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTg0MDYwNjg2NF5BMl5BanBnXkFtZTgwMTE1NzMyMjE@._V1_SX300.jpg,,,,,
Coherence,2013,Not Rated,06 Aug 2014,89 min,"Drama, Mystery, Sci-Fi",James Ward Byrkit,"James Ward Byrkit, Alex Manugian","Emily Baldoni, Maury Sterling, Nicholas Brendon",Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BNzQ3ODUzNDY2M15BMl5BanBnXkFtZTgwNzg0ODY2MTE@._V1_SX300.jpg,,,,,
Korengal,2014,R,30 Nov 2015,84 min,"Documentary, Biography, History",Sebastian Junger,N/A,"LaMonta Caldwell, Miguel Cortez, Stephen Gillespie","Korengal picks up where Restrepo left off; the same men, the same valley, the same commanders, but a very different look at the experience of war.",English,"United States, Italy, Afghanistan",https://m.media-amazon.com/images/M/MV5BMTkxMTI4Mjk4NV5BMl5BanBnXkFtZTgwNTkzMjU2MTE@._V1_SX300.jpg,,,,,
The Overnighters,2014,PG-13,31 Oct 2014,102 min,"Documentary, Drama",Jesse Moss,Jesse Moss,"Jay Reinke, Andrea Reinke, Alan Mezo","Broken, desperate men chase their dreams and run from their demons in the North Dakota oil fields. A local Pastor risks everything to help them.",English,United States,https://m.media-amazon.com/images/M/MV5BMjE5MDE3NzA0M15BMl5BanBnXkFtZTgwNjM1NzY2MjE@._V1_SX300.jpg,,,,,
The Golden Era,2014,N/A,01 Oct 2014,177 min,"Biography, Drama, Romance",Ann Hui,Qiang Li,"Tang Wei, Shaofeng Feng, Zhiwen Wang","The life story of Xiao Hong, one of China's most famous essayists and novelists, who reflected the progressive thinking not frequently seen during the 1930s.",Mandarin,"China, Hong Kong",https://m.media-amazon.com/images/M/MV5BNDE0ZTY2NjUtNWI0NS00MGUyLTg5MTktOTU4ZTU4YjZkZjA5XkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,,,,,
Ivory Tower,2014,PG-13,04 May 2015,90 min,"Documentary, Family, History",Andrew Rossi,Andrew Rossi,"Elizabeth Armstrong, Richard Arum, Jamshed Bharucha",A documentary that questions the cost -- and value -- of higher education in the United States.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQ4NTY5NDAxN15BMl5BanBnXkFtZTgwNzUxMTA3MTE@._V1_SX300.jpg,,,,,
Promising Young Woman,2020,R,25 Dec 2020,113 min,"Crime, Drama, Mystery",Emerald Fennell,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BOTgzMzE4MGItZDgxYS00ZGEwLWE3YTctZWY3ZDAyMTk0ZGU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,,,,
The Way He Looks,2014,Not Rated,07 Nov 2014,96 min,"Drama, Romance",Daniel Ribeiro,Daniel Ribeiro,"Ghilherme Lobo, Fabio Audi, Tess Amorim","Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend, Giovana, and the way he sees the world change completely with the arrival of Gabriel.",Portuguese,Brazil,https://m.media-amazon.com/images/M/MV5BMTQ5NjYxODk2NF5BMl5BanBnXkFtZTgwOTgyNTU4MjE@._V1_SX300.jpg,,,,,
Ode to My Father,2014,Not Rated,17 Dec 2014,126 min,"Drama, War",JK Youn,"Su-jin Park, JK Youn","Hwang Jung-min, Yunjin Kim, Dal-su Oh","Amid the time of Korean War, a young boy's vow to take care of his family marked the beginning of a lifelong promise spanning 60 years.","Korean, English, German, Vietnamese",South Korea,https://m.media-amazon.com/images/M/MV5BNzU1ODg0NDUwN15BMl5BanBnXkFtZTgwNjY1MDQ1MzE@._V1_SX300.jpg,,,,,
Generation War,2013,TV-MA,01 Mar 2013,270 min,"Action, Drama, History",N/A,N/A,"Volker Bruch, Tom Schilling, Katharina Schüttler",Five friends go out to war and promise each other to be back for Christmas.,German,Germany,https://m.media-amazon.com/images/M/MV5BMTYwMzIyMjg5M15BMl5BanBnXkFtZTgwNzM1NjI2MDE@._V1_SX300.jpg,1,,,,
