Rank,Movie,Release Date,Distributor,Genre,2022 Gross,Tickets Sold
1,Top Gun: Maverick,"May 27, 2022",Paramount Pictures,Action,"$716,657,763","78,152,427"
2,Doctor Strange in the Multi…,"May 6, 2022",Walt Disney,Action,"$411,331,607","44,856,227"
3,Jurassic World: Dominion,"Jun 10, 2022",Universal,Action,"$376,009,080","41,004,261"
4,Black Panther: Wakanda Forever,"Nov 11, 2022",Walt Disney,Action,"$374,279,837","40,815,685"
5,Minions: The Rise of Gru,"Jul 1, 2022",Universal,Comedy,"$369,500,210","40,294,461"
6,The Batman,"Mar 4, 2022",Warner Bros.,Action,"$369,345,583","40,277,599"
7,Thor: Love and Thunder,"Jul 8, 2022",Walt Disney,Action,"$343,256,830","37,432,587"
8,Spider-Man: No Way Home,"Dec 17, 2021",Sony Pictures,Action,"$241,123,638","26,294,835"
9,Sonic the Hedgehog 2,"Apr 8, 2022",Paramount Pictures,Adventure,"$190,872,904","20,814,929"
10,Black Adam,"Oct 21, 2022",Warner Bros.,Action,"$163,506,640","17,830,604"
11,Elvis,"Jun 24, 2022",Warner Bros.,Drama,"$151,040,048","16,471,106"
12,Uncharted,"Feb 18, 2022",Sony Pictures,Adventure,"$148,648,820","16,210,340"
13,Nope,"Jul 22, 2022",Universal,Horror,"$123,277,080","13,443,520"
14,Lightyear,"Jun 17, 2022",Walt Disney,Adventure,"$118,307,188","12,901,547"
15,Smile,"Sep 30, 2022",Paramount Pictures,Horror,"$105,574,973","11,513,083"
16,The Lost City,"Mar 25, 2022",Paramount Pictures,Adventure,"$105,344,029","11,487,898"
17,Bullet Train,"Aug 5, 2022",Sony Pictures,Thriller/Suspense,"$103,259,633","11,260,592"
18,The Bad Guys,"Apr 22, 2022",Universal,Comedy,"$97,233,630","10,603,449"
19,Fantastic Beasts: The Secre…,"Apr 15, 2022",Warner Bros.,Adventure,"$95,850,844","10,452,654"
20,DC League of Super Pets,"Jul 29, 2022",Warner Bros.,Adventure,"$93,657,117","10,213,426"
21,Where the Crawdads Sing,"Jul 15, 2022",Sony Pictures,Drama,"$90,038,355","9,818,795"
22,The Black Phone,"Jun 24, 2022",Universal,Horror,"$89,887,230","9,802,315"
23,Sing 2,"Dec 22, 2021",Universal,Adventure,"$86,307,835","9,411,977"
24,Scream,"Jan 14, 2022",Paramount Pictures,Horror,"$81,641,405","8,903,097"
25,Morbius,"Apr 1, 2022",Sony Pictures,Action,"$73,793,072","8,047,227"
26,Everything Everywhere All A…,"Mar 25, 2022",A24,Action,"$70,008,593","7,634,524"
27,The Woman King,"Sep 16, 2022",Sony Pictures,Action,"$67,057,412","7,312,694"
28,Ticket to Paradise,"Oct 21, 2022",Universal,Romantic Comedy,"$65,539,840","7,147,201"
29,Halloween Ends,"Oct 14, 2022",Universal,Horror,"$64,079,860","6,987,989"
30,Dog,"Feb 18, 2022",United Artists,Comedy,"$61,778,069","6,736,975"
31,jackass forever,"Feb 4, 2022",Paramount Pictures,Reality,"$57,743,451","6,296,995"
32,Death on the Nile,"Feb 11, 2022",20th Century Studios,Drama,"$45,630,104","4,976,020"
33,"Lyle, Lyle, Crocodile","Oct 7, 2022",Sony Pictures,Musical,"$45,345,339","4,944,966"
34,"Don’t Worry, Darling","Sep 23, 2022",Warner Bros.,Thriller/Suspense,"$45,309,403","4,941,047"
35,Downton Abbey: A New Era,"May 20, 2022",Focus Features,Drama,"$43,896,550","4,786,973"
36,Barbarian,"Sep 9, 2022",20th Century Studios,Horror,"$40,842,944","4,453,974"
37,The Northman,"Apr 22, 2022",Focus Features,Action,"$34,233,110","3,733,163"
38,Jujutsu Kaisen 0: The Movie,"Mar 18, 2022",FUNimation,Action,"$33,919,605","3,698,975"
39,Dragon Ball Super: Super Hero,"Aug 19, 2022",Crunchyroll,Action,"$32,132,374","3,504,075"
40,The Bob’s Burgers Movie,"May 27, 2022",20th Century Studios,Comedy,"$31,933,830","3,482,424"
41,Beast,"Aug 19, 2022",Universal,Thriller/Suspense,"$31,846,530","3,472,904"
42,Carnal Knowledge,"Jan 1, 1971",Avco Embassy,Drama,"$28,630,731","3,122,217"
43,The Invitation,"Aug 26, 2022",Sony Pictures,Horror,"$25,100,080","2,737,195"
44,Avatar,"Dec 18, 2009",20th Century Fox,Action,"$24,714,024","2,695,095"
45,Marry Me,"Feb 11, 2022",Universal,Romantic Comedy,"$22,438,180","2,446,911"
46,Ambulance,"Apr 8, 2022",Universal,Thriller/Suspense,"$22,309,115","2,432,836"
47,The King’s Man,"Dec 22, 2021",20th Century Studios,Action,"$20,917,649","2,281,095"
48,Father Stu,"Apr 13, 2022",Sony Pictures,Drama,"$20,740,439","2,261,770"
49,The Menu,"Nov 18, 2022",Searchlight Pictures,Black Comedy,"$20,659,644","2,252,960"
50,The Unbearable Weight of Ma…,"Apr 22, 2022",Lionsgate,Action,"$20,300,157","2,213,757"
51,Strange World,"Nov 23, 2022",Walt Disney,Adventure,"$20,221,616","2,205,192"
52,Prey for the Devil,"Oct 28, 2022",Lionsgate,Horror,"$19,215,585","2,095,483"
53,Moonfall,"Feb 4, 2022",Lionsgate,Action,"$19,060,660","2,078,588"
54,Paws of Fury: The Legend of…,"Jul 15, 2022",Paramount Pictures,Adventure,"$17,811,382","1,942,353"
55,Amsterdam,"Oct 7, 2022",20th Century Studios,Comedy,"$14,947,969","1,630,094"
56,The 355,"Jan 7, 2022",Universal,Thriller/Suspense,"$14,570,455","1,588,926"
57,American Underdog: The Kurt…,"Dec 25, 2021",Lionsgate,Drama,"$14,301,214","1,559,565"
58,The Chosen Season 3: Episod…,"Nov 18, 2022",Fathom Events,Drama,"$14,096,527","1,537,243"
59,"RRR: Rise, Roar, Revolt","Mar 24, 2022",Sarigama Cinemas,Action,"$13,923,756","1,518,403"
60,Glass Onion: A Knives Out M…,"Nov 23, 2022",Netflix,Drama,"$13,300,000","1,450,381"
61,Easter Sunday,"Aug 5, 2022",Universal,Comedy,"$13,013,690","1,419,159"
62,One Piece Film: Red,"Nov 4, 2022",Crunchyroll,Action,"$12,768,073","1,392,374"
63,Jaws,"Jun 20, 1975",Universal,Horror,"$12,257,035","1,336,645"
64,X,"Mar 18, 2022",A24,Horror,"$11,769,469","1,283,475"
65,Bros,"Sep 30, 2022",Universal,Romantic Comedy,"$11,628,165","1,268,065"
66,Bodies Bodies Bodies,"Aug 5, 2022",A24,Horror,"$11,446,602","1,248,266"
67,Devotion,"Nov 23, 2022",Sony Pictures,Action,"$11,000,657","1,199,635"
68,Licorice Pizza,"Nov 26, 2021",United Artists,Drama,"$10,935,116","1,192,488"
69,Terrifier 2,"Oct 6, 2022",Iconic Releasing,Horror,"$10,636,305","1,159,902"
70,Mrs. Harris Goes to Paris,"Jul 15, 2022",Focus Features,Drama,"$10,433,915","1,137,831"
71,West Side Story,"Dec 10, 2021",20th Century Studios,Musical,"$10,361,074","1,129,888"
72,Blacklight,"Feb 11, 2022",Briarcliff Entert…,Action,"$9,591,094","1,045,920"
73,Firestarter,"May 13, 2022",Universal,Horror,"$9,589,250","1,045,719"
74,See How They Run,"Sep 16, 2022",Searchlight Pictures,Comedy,"$9,586,237","1,045,391"
