Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
Partner,2007,Not Rated,20 Jul 2007,155 min,"Comedy, Drama, Romance",David Dhawan,"Shabbir Ahmed, Sanjay Chhel, David Dhawan","Salman Khan, Govinda, Lara Dutta","A 'Love Guru' assists other males, woos a widowed single mother, but becomes embroiled in controversies.",Hindi,India,https://m.media-amazon.com/images/M/MV5BYzMwMWY2Y2YtZGExMi00ZTAzLWI0MWItMjNhNWFmNmI2MzAyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Ma tante Aline,2007,N/A,16 Jul 2007,100 min,Comedy,Gabriel Pelletier,"Stéphane J. Bureau, Frédéric Ouellet","Sylvie Léonard, Béatrice Picard, Rémi-Pierre Paquin","Geneviève Saint-Louis, a bachelor and neurotic careerist, refuses any form of engagement. Her aunt Aline, a former cabaret singer, arrives at her home with the ulterior aim of avoiding placement in a reception center.",French,Canada,https://m.media-amazon.com/images/M/MV5BOWJkZGViNGEtMDM1OS00NzBlLThlMDctYjExY2NmNjQwZGYxXkEyXkFqcGdeQXVyNjEzMTg5Njk@._V1_SX300.jpg,,,,,
Skinwalkers,2006,R,10 Aug 2007,110 min,"Action, Fantasy, Horror",James Isaac,"James DeMonaco, Todd Harthan, James Roday Rodriguez","Jason Behr, Elias Koteas, Rhona Mitra","A 12 year old boy and his mother become the targets of two warring werewolf packs, each with different intentions and motives.",English,"Canada, United States, Germany",https://m.media-amazon.com/images/M/MV5BMTI1OTIyNzc5OF5BMl5BanBnXkFtZTcwNjI1ODI1MQ@@._V1_SX300.jpg,,,,,
Thr3e,2006,PG-13,05 Jan 2007,101 min,"Horror, Mystery, Thriller",Robby Henson,"Alan B. McElroy, Ted Dekker","Marc Blucas, Justine Waddell, Laura Jordan",Innocent lives hang on the whim of an elusive psychopathic murderer whose strange riddles and impossible timelines force three people into a mission to end the game before one or all of them die.,English,"Poland, United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTk2Njg3ODgxM15BMl5BanBnXkFtZTcwOTUyMTA0MQ@@._V1_SX300.jpg,,,,,
Goya's Ghosts,2006,R,10 Nov 2006,113 min,"Biography, Drama, History",Milos Forman,"Milos Forman, Jean-Claude Carrière","Javier Bardem, Natalie Portman, Stellan Skarsgård","Painter Francisco Goya faces a scandal involving his muse, who is labeled a heretic by a monk.",English,"United States, Spain",https://m.media-amazon.com/images/M/MV5BYTFlY2E0NWEtOTk0MS00OTMxLTllYmItZDFlNDhiNzQyYTBkXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,,,,,
Broken English,2007,PG-13,16 Jul 2008,93 min,"Comedy, Drama, Romance",Zoe R. Cassavetes,Zoe R. Cassavetes,"Parker Posey, Melvil Poupaud, Gena Rowlands","Since college, Nora hasn't had much luck with men. Now in her 30s, she works in a NYC hotel going nowhere. That is, until she meets Julien.","English, French","France, Japan, United States",https://m.media-amazon.com/images/M/MV5BMTA2NzMwNjIwMDJeQTJeQWpwZ15BbWU3MDMyNDgzNTE@._V1_SX300.jpg,,,,,
The Ten Commandments,1956,G,05 Oct 1956,220 min,"Adventure, Drama, Family",Cecil B. DeMille,"Dorothy Clarke Wilson, J.H. Ingraham, A.E. Southon","Charlton Heston, Yul Brynner, Anne Baxter","Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",English,United States,https://m.media-amazon.com/images/M/MV5BODcxYjUxZDgtYTQ5Zi00YmQ1LWJmZmItODZkOTYyNDhiNWM3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,,,,,
Breaking and Entering,2006,R,10 Nov 2006,120 min,"Crime, Drama, Romance",Anthony Minghella,Anthony Minghella,"Jude Law, Robin Wright, Vera Farmiga",A landscape architect's dealings with a young thief cause him to re-evaluate his life.,"English, Serbo-Croatian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTI3NzM3NDU4M15BMl5BanBnXkFtZTcwNjYzODgzMQ@@._V1_SX300.jpg,,,,,
The Orphanage,2007,R,11 Jan 2008,105 min,"Drama, Horror, Mystery",J.A. Bayona,Sergio G. Sánchez,"Belén Rueda, Fernando Cayo, Roger Príncep","A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.",Spanish,"Spain, Mexico",https://m.media-amazon.com/images/M/MV5BNTRjZjUzMDEtMjM5MC00NTMzLWJlYzItNzYzNjIwZjc0YjIzXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,,,,,
The Brothers Solomon,2007,R,07 Sep 2007,93 min,Comedy,Bob Odenkirk,Will Forte,"Will Arnett, Will Forte, Jenna Fischer","A pair of well-meaning, but socially inept brothers try to find their perfect mates in order to provide their dying father with a grandchild.",English,United States,https://m.media-amazon.com/images/M/MV5BMTUxNzUwNzcyNV5BMl5BanBnXkFtZTcwNjM3MTg0MQ@@._V1_SX300.jpg,,,,,
